대여건수,반납건수,대여소 수
5968,5816,89
6337,6098,89
16387,15390,89
22955,21657,89
34342,32413,89
97024,89978,89
43661,40100,89
42383,38259,89
60712,55483,89
61289,56313,89
41909,39150,89
3441,3427,51
3608,3646,51
10640,11068,51
16552,17141,51
27468,28562,51
79938,84318,51
37146,39152,51
33795,35018,51
49405,51095,51
47450,49048,51
31683,32324,51
1898,1812,30
1997,2003,30
5803,5859,30
9998,10206,30
15011,15340,30
41532,42510,30
19000,19557,30
17273,17470,30
25234,25489,30
22886,23035,30
15749,15884,30
3419,3452,67
3538,3508,67
9146,9638,67
17062,18190,67
31398,33160,67
91310,96348,67
44552,47148,67
39250,41306,67
52586,55212,67
52861,54877,67
38024,39217,67
4882,4845,42
4940,4885,42
13050,12854,42
20601,20730,42
32115,31989,42
93436,93552,42
43015,43296,42
37379,37570,42
49350,49236,42
49840,49583,42
34879,34578,42
9271,8919,47
9702,9553,47
28826,28821,47
41153,40911,47
59186,58612,47
148272,145896,47
65544,64344,47
60496,59436,47
86228,85380,47
78065,77513,47
57569,57083,47
3664,3555,45
4034,3942,45
11300,11300,45
18162,18140,45
28613,28317,45
80568,79590,45
36480,36626,45
32881,32790,45
43968,43799,45
45264,45031,45
32377,32150,45
2119,2268,30
2014,2094,30
4799,4791,30
7570,7321,30
10934,10731,30
29372,29112,30
14915,14591,30
13031,12855,30
17212,16693,30
17735,17525,30
13742,13775,30
3327,3381,52
3710,3707,52
13405,13263,52
24056,23885,52
38320,38200,52
101454,101542,52
47472,47609,52
43859,43768,52
64040,63666,52
59310,58935,52
43709,43412,52
809,790,17
1074,1033,17
3615,3622,17
6100,6444,17
10401,10904,17
28694,30624,17
12785,13507,17
11763,12318,17
17125,17920,17
15522,16271,17
11865,12190,17
6675,6881,34
6453,6709,34
16798,17305,34
22884,23348,34
31828,32393,34
82346,84796,34
37382,39036,34
33942,35910,34
46781,48264,34
45823,47119,34
35221,36173,34
3456,3478,25
3834,3897,25
10608,10755,25
16348,16683,25
25152,25570,25
67730,69188,25
30783,32059,25
27326,28180,25
40549,40945,25
36328,36756,25
23948,24062,25
19613,20572,57
19569,20437,57
50027,51478,57
65880,66743,57
88953,89697,57
218568,219236,57
100152,99988,57
89841,90040,57
123498,123197,57
113025,114921,57
72275,74975,57
8436,7472,33
8184,7433,33
20085,18533,33
25414,23596,33
34048,31696,33
86328,80234,33
39796,37214,33
35842,33278,33
45789,42886,33
44680,40812,33
33425,29754,33
6830,6763,67
7115,7100,67
18729,18708,67
28164,27521,67
39904,39282,67
108920,105680,67
48665,46850,67
42520,41605,67
65297,65093,67
60504,59978,67
39578,39071,67
10689,10878,42
10793,10737,42
28370,27882,42
39039,38319,42
54477,53803,42
131146,130762,42
57569,57545,42
51742,51975,42
72216,72222,42
65514,65830,42
46366,46480,42
3843,3721,35
4104,4123,35
12678,12838,35
18113,18149,35
27703,27396,35
72990,73610,35
33269,33965,35
29510,29468,35
42889,42384,35
41089,41000,35
32963,32784,35
6764,6814,63
7493,7591,63
24110,24537,63
36713,37324,63
62949,63306,63
170544,171960,63
72230,72771,63
63635,64367,63
103233,104706,63
103440,104539,63
68814,69594,63
2130,2111,28
2510,2590,28
8179,8686,28
13291,13882,28
21621,22261,28
58322,61628,28
27697,29323,28
25474,26529,28
36264,37775,28
36228,37644,28
25709,26197,28
16829,16726,59
16958,16777,59
42958,42313,59
63764,62622,59
86642,85527,59
208192,204350,59
96637,93990,59
87497,86107,59
122724,122016,59
112588,111550,59
77120,76573,59
3006,3028,12
3434,3590,12
9347,9475,12
15366,15458,12
23858,23906,12
60626,60562,12
24909,24856,12
22786,22775,12
33919,33911,12
30719,31166,12
19025,19366,12
4889,4993,34
4883,5018,34
13130,13592,34
20002,20790,34
27783,28633,34
72910,76842,34
32897,34725,34
30510,32050,34
40901,42479,34
37745,39149,34
27004,27759,34
15622,15339,36
15248,14770,36
33272,31241,36
39841,37285,36
50365,47216,36
125192,115722,36
59539,55128,36
55032,51672,36
67281,62622,36
65442,61725,36
53073,51516,36
7532,7366,10
7445,7075,10
16657,15765,10
20044,18680,10
24230,22574,10
60850,55944,10
28754,25201,10
24754,22004,10
32232,29808,10
32608,30144,10
27887,26085,10
2910,2934,23
3233,3245,23
9556,9876,23
15459,16377,23
23664,25032,23
63272,66388,23
29381,30508,23
25643,26670,23
35920,37249,23
32784,33719,23
23766,24277,23
