구명,대여일자,대여건수,반납건수
강남구,201810,61289,56313
강동구,201810,47450,49048
강북구,201810,22886,23035
강서구,201810,52861,54877
관악구,201810,49840,49583
광진구,201810,78065,77513
구로구,201810,45264,45031
금천구,201810,17735,17525
노원구,201810,59310,58935
도봉구,201810,15522,16271
동대문구,201810,45823,47119
동작구,201810,36328,36756
마포구,201810,113025,114921
서대문구,201810,44680,40812
서초구,201810,60504,59978
성동구,201810,65514,65830
성북구,201810,41089,41000
송파구,201810,103440,104539
양천구,201810,36228,37644
영등포구,201810,112588,111550
용산구,201810,30719,31166
은평구,201810,37745,39149
종로구,201810,65442,61725
중구,201810,32608,30144
중랑구,201810,32784,33719
