구명,대여일자,대여건수,반납건수
강남구,201801,5968,5816
강남구,201802,6337,6098
강남구,201803,16387,15390
강남구,201804,22955,21657
강남구,201805,34342,32413
강남구,201806,97024,89978
강남구,201807,43661,40100
강남구,201808,42383,38259
강남구,201809,60712,55483
강남구,201810,61289,56313
강남구,201811,41909,39150
강동구,201801,3441,3427
강동구,201802,3608,3646
강동구,201803,10640,11068
강동구,201804,16552,17141
강동구,201805,27468,28562
강동구,201806,79938,84318
강동구,201807,37146,39152
강동구,201808,33795,35018
강동구,201809,49405,51095
강동구,201810,47450,49048
강동구,201811,31683,32324
강북구,201801,1898,1812
강북구,201802,1997,2003
강북구,201803,5803,5859
강북구,201804,9998,10206
강북구,201805,15011,15340
강북구,201806,41532,42510
강북구,201807,19000,19557
강북구,201808,17273,17470
강북구,201809,25234,25489
강북구,201810,22886,23035
강북구,201811,15749,15884
강서구,201801,3419,3452
강서구,201802,3538,3508
강서구,201803,9146,9638
강서구,201804,17062,18190
강서구,201805,31398,33160
강서구,201806,91310,96348
강서구,201807,44552,47148
강서구,201808,39250,41306
강서구,201809,52586,55212
강서구,201810,52861,54877
강서구,201811,38024,39217
관악구,201801,4882,4845
관악구,201802,4940,4885
관악구,201803,13050,12854
관악구,201804,20601,20730
관악구,201805,32115,31989
관악구,201806,93436,93552
관악구,201807,43015,43296
관악구,201808,37379,37570
관악구,201809,49350,49236
관악구,201810,49840,49583
관악구,201811,34879,34578
광진구,201801,9271,8919
광진구,201802,9702,9553
광진구,201803,28826,28821
광진구,201804,41153,40911
광진구,201805,59186,58612
광진구,201806,148272,145896
광진구,201807,65544,64344
광진구,201808,60496,59436
광진구,201809,86228,85380
광진구,201810,78065,77513
광진구,201811,57569,57083
구로구,201801,3664,3555
구로구,201802,4034,3942
구로구,201803,11300,11300
구로구,201804,18162,18140
구로구,201805,28613,28317
구로구,201806,80568,79590
구로구,201807,36480,36626
구로구,201808,32881,32790
구로구,201809,43968,43799
구로구,201810,45264,45031
구로구,201811,32377,32150
금천구,201801,2119,2268
금천구,201802,2014,2094
금천구,201803,4799,4791
금천구,201804,7570,7321
금천구,201805,10934,10731
금천구,201806,29372,29112
금천구,201807,14915,14591
금천구,201808,13031,12855
금천구,201809,17212,16693
금천구,201810,17735,17525
금천구,201811,13742,13775
노원구,201801,3327,3381
노원구,201802,3710,3707
노원구,201803,13405,13263
노원구,201804,24056,23885
노원구,201805,38320,38200
노원구,201806,101454,101542
노원구,201807,47472,47609
노원구,201808,43859,43768
노원구,201809,64040,63666
노원구,201810,59310,58935
노원구,201811,43709,43412
도봉구,201801,809,790
도봉구,201802,1074,1033
도봉구,201803,3615,3622
도봉구,201804,6100,6444
도봉구,201805,10401,10904
도봉구,201806,28694,30624
도봉구,201807,12785,13507
도봉구,201808,11763,12318
도봉구,201809,17125,17920
도봉구,201810,15522,16271
도봉구,201811,11865,12190
동대문구,201801,6675,6881
동대문구,201802,6453,6709
동대문구,201803,16798,17305
동대문구,201804,22884,23348
동대문구,201805,31828,32393
동대문구,201806,82346,84796
동대문구,201807,37382,39036
동대문구,201808,33942,35910
동대문구,201809,46781,48264
동대문구,201810,45823,47119
동대문구,201811,35221,36173
동작구,201801,3456,3478
동작구,201802,3834,3897
동작구,201803,10608,10755
동작구,201804,16348,16683
동작구,201805,25152,25570
동작구,201806,67730,69188
동작구,201807,30783,32059
동작구,201808,27326,28180
동작구,201809,40549,40945
동작구,201810,36328,36756
동작구,201811,23948,24062
마포구,201801,19613,20572
마포구,201802,19569,20437
마포구,201803,50027,51478
마포구,201804,65880,66743
마포구,201805,88953,89697
마포구,201806,218568,219236
마포구,201807,100152,99988
마포구,201808,89841,90040
마포구,201809,123498,123197
마포구,201810,113025,114921
마포구,201811,72275,74975
서대문구,201801,8436,7472
서대문구,201802,8184,7433
서대문구,201803,20085,18533
서대문구,201804,25414,23596
서대문구,201805,34048,31696
서대문구,201806,86328,80234
서대문구,201807,39796,37214
서대문구,201808,35842,33278
서대문구,201809,45789,42886
서대문구,201810,44680,40812
서대문구,201811,33425,29754
서초구,201801,6830,6763
서초구,201802,7115,7100
서초구,201803,18729,18708
서초구,201804,28164,27521
서초구,201805,39904,39282
서초구,201806,108920,105680
서초구,201807,48665,46850
서초구,201808,42520,41605
서초구,201809,65297,65093
서초구,201810,60504,59978
서초구,201811,39578,39071
성동구,201801,10689,10878
성동구,201802,10793,10737
성동구,201803,28370,27882
성동구,201804,39039,38319
성동구,201805,54477,53803
성동구,201806,131146,130762
성동구,201807,57569,57545
성동구,201808,51742,51975
성동구,201809,72216,72222
성동구,201810,65514,65830
성동구,201811,46366,46480
성북구,201801,3843,3721
성북구,201802,4104,4123
성북구,201803,12678,12838
성북구,201804,18113,18149
성북구,201805,27703,27396
성북구,201806,72990,73610
성북구,201807,33269,33965
성북구,201808,29510,29468
성북구,201809,42889,42384
성북구,201810,41089,41000
성북구,201811,32963,32784
송파구,201801,6764,6814
송파구,201802,7493,7591
송파구,201803,24110,24537
송파구,201804,36713,37324
송파구,201805,62949,63306
송파구,201806,170544,171960
송파구,201807,72230,72771
송파구,201808,63635,64367
송파구,201809,103233,104706
송파구,201810,103440,104539
송파구,201811,68814,69594
양천구,201801,2130,2111
양천구,201802,2510,2590
양천구,201803,8179,8686
양천구,201804,13291,13882
양천구,201805,21621,22261
양천구,201806,58322,61628
양천구,201807,27697,29323
양천구,201808,25474,26529
양천구,201809,36264,37775
양천구,201810,36228,37644
양천구,201811,25709,26197
영등포구,201801,16829,16726
영등포구,201802,16958,16777
영등포구,201803,42958,42313
영등포구,201804,63764,62622
영등포구,201805,86642,85527
영등포구,201806,208192,204350
영등포구,201807,96637,93990
영등포구,201808,87497,86107
영등포구,201809,122724,122016
영등포구,201810,112588,111550
영등포구,201811,77120,76573
용산구,201801,3006,3028
용산구,201802,3434,3590
용산구,201803,9347,9475
용산구,201804,15366,15458
용산구,201805,23858,23906
용산구,201806,60626,60562
용산구,201807,24909,24856
용산구,201808,22786,22775
용산구,201809,33919,33911
용산구,201810,30719,31166
용산구,201811,19025,19366
은평구,201801,4889,4993
은평구,201802,4883,5018
은평구,201803,13130,13592
은평구,201804,20002,20790
은평구,201805,27783,28633
은평구,201806,72910,76842
은평구,201807,32897,34725
은평구,201808,30510,32050
은평구,201809,40901,42479
은평구,201810,37745,39149
은평구,201811,27004,27759
종로구,201801,15622,15339
종로구,201802,15248,14770
종로구,201803,33272,31241
종로구,201804,39841,37285
종로구,201805,50365,47216
종로구,201806,125192,115722
종로구,201807,59539,55128
종로구,201808,55032,51672
종로구,201809,67281,62622
종로구,201810,65442,61725
종로구,201811,53073,51516
중구,201801,7532,7366
중구,201802,7445,7075
중구,201803,16657,15765
중구,201804,20044,18680
중구,201805,24230,22574
중구,201806,60850,55944
중구,201807,28754,25201
중구,201808,24754,22004
중구,201809,32232,29808
중구,201810,32608,30144
중구,201811,27887,26085
중랑구,201801,2910,2934
중랑구,201802,3233,3245
중랑구,201803,9556,9876
중랑구,201804,15459,16377
중랑구,201805,23664,25032
중랑구,201806,63272,66388
중랑구,201807,29381,30508
중랑구,201808,25643,26670
중랑구,201809,35920,37249
중랑구,201810,32784,33719
중랑구,201811,23766,24277
