구명,대여일자,대여건수,반납건수
강남구,201801,5968,5816
강남구,201802,6337,6098
강남구,201803,16387,15390
강남구,201804,22955,21657
강남구,201805,34342,32413
강남구,201806,48512,44989
강동구,201801,3441,3427
강동구,201802,3608,3646
강동구,201803,10640,11068
강동구,201804,16552,17141
강동구,201805,27468,28562
강동구,201806,39969,42159
강북구,201801,1898,1812
강북구,201802,1997,2003
강북구,201803,5803,5859
강북구,201804,9998,10206
강북구,201805,15011,15340
강북구,201806,20766,21255
강서구,201801,3419,3452
강서구,201802,3538,3508
강서구,201803,9146,9638
강서구,201804,17062,18190
강서구,201805,31398,33160
강서구,201806,45655,48174
관악구,201801,4882,4845
관악구,201802,4940,4885
관악구,201803,13050,12854
관악구,201804,20601,20730
관악구,201805,32115,31989
관악구,201806,46718,46776
광진구,201801,9271,8919
광진구,201802,9702,9553
광진구,201803,28826,28821
광진구,201804,41153,40911
광진구,201805,59186,58612
광진구,201806,74136,72948
구로구,201801,3664,3555
구로구,201802,4034,3942
구로구,201803,11300,11300
구로구,201804,18162,18140
구로구,201805,28613,28317
구로구,201806,40284,39795
금천구,201801,2119,2268
금천구,201802,2014,2094
금천구,201803,4799,4791
금천구,201804,7570,7321
금천구,201805,10934,10731
금천구,201806,14686,14556
노원구,201801,3327,3381
노원구,201802,3710,3707
노원구,201803,13405,13263
노원구,201804,24056,23885
노원구,201805,38320,38200
노원구,201806,50727,50771
도봉구,201801,809,790
도봉구,201802,1074,1033
도봉구,201803,3615,3622
도봉구,201804,6100,6444
도봉구,201805,10401,10904
도봉구,201806,14347,15312
동대문구,201801,6675,6881
동대문구,201802,6453,6709
동대문구,201803,16798,17305
동대문구,201804,22884,23348
동대문구,201805,31828,32393
동대문구,201806,41173,42398
동작구,201801,3456,3478
동작구,201802,3834,3897
동작구,201803,10608,10755
동작구,201804,16348,16683
동작구,201805,25152,25570
동작구,201806,33865,34594
마포구,201801,19613,20572
마포구,201802,19569,20437
마포구,201803,50027,51478
마포구,201804,65880,66743
마포구,201805,88953,89697
마포구,201806,109284,109618
서대문구,201801,8436,7472
서대문구,201802,8184,7433
서대문구,201803,20085,18533
서대문구,201804,25414,23596
서대문구,201805,34048,31696
서대문구,201806,43164,40117
서초구,201801,6830,6763
서초구,201802,7115,7100
서초구,201803,18729,18708
서초구,201804,28164,27521
서초구,201805,39904,39282
서초구,201806,54460,52840
성동구,201801,10689,10878
성동구,201802,10793,10737
성동구,201803,28370,27882
성동구,201804,39039,38319
성동구,201805,54477,53803
성동구,201806,65573,65381
성북구,201801,3843,3721
성북구,201802,4104,4123
성북구,201803,12678,12838
성북구,201804,18113,18149
성북구,201805,27703,27396
성북구,201806,36495,36805
송파구,201801,6764,6814
송파구,201802,7493,7591
송파구,201803,24110,24537
송파구,201804,36713,37324
송파구,201805,62949,63306
송파구,201806,85272,85980
양천구,201801,2130,2111
양천구,201802,2510,2590
양천구,201803,8179,8686
양천구,201804,13291,13882
양천구,201805,21621,22261
양천구,201806,29161,30814
영등포구,201801,16829,16726
영등포구,201802,16958,16777
영등포구,201803,42958,42313
영등포구,201804,63764,62622
영등포구,201805,86642,85527
영등포구,201806,104096,102175
용산구,201801,3006,3028
용산구,201802,3434,3590
용산구,201803,9347,9475
용산구,201804,15366,15458
용산구,201805,23858,23906
용산구,201806,30313,30281
은평구,201801,4889,4993
은평구,201802,4883,5018
은평구,201803,13130,13592
은평구,201804,20002,20790
은평구,201805,27783,28633
은평구,201806,36455,38421
종로구,201801,15622,15339
종로구,201802,15248,14770
종로구,201803,33272,31241
종로구,201804,39841,37285
종로구,201805,50365,47216
종로구,201806,62596,57861
중구,201801,7532,7366
중구,201802,7445,7075
중구,201803,16657,15765
중구,201804,20044,18680
중구,201805,24230,22574
중구,201806,30425,27972
중랑구,201801,2910,2934
중랑구,201802,3233,3245
중랑구,201803,9556,9876
중랑구,201804,15459,16377
중랑구,201805,23664,25032
중랑구,201806,31636,33194
