구명,대여소번호,대여소명,대여일자,대여건수,반납건수
강남구,2301,현대고등학교 건너편,201806,2478,2517
강남구,2301,현대고등학교 건너편,201807,1760,1772
강남구,2301,현대고등학교 건너편,201808,1740,1897
강남구,2301,현대고등학교 건너편,201809,3329,3670
강남구,2301,현대고등학교 건너편,201810,2749,2946
강남구,2301,현대고등학교 건너편,201811,1059,1187
강남구,2302,교보타워 버스정류장(신논현역 3번출구 후면),201806,1375,1356
강남구,2302,교보타워 버스정류장(신논현역 3번출구 후면),201807,1141,1116
강남구,2302,교보타워 버스정류장(신논현역 3번출구 후면),201808,1247,1262
강남구,2302,교보타워 버스정류장(신논현역 3번출구 후면),201809,1694,1699
강남구,2302,교보타워 버스정류장(신논현역 3번출구 후면),201810,1518,1536
강남구,2302,교보타워 버스정류장(신논현역 3번출구 후면),201811,959,1003
강남구,2303,논현역 7번출구,201806,804,760
강남구,2303,논현역 7번출구,201807,697,698
강남구,2303,논현역 7번출구,201808,909,776
강남구,2303,논현역 7번출구,201809,1243,1020
강남구,2303,논현역 7번출구,201810,1114,1003
강남구,2303,논현역 7번출구,201811,638,598
강남구,2304,신영 ROYAL PALACE 앞,201806,452,172
강남구,2304,신영 ROYAL PALACE 앞,201807,449,157
강남구,2304,신영 ROYAL PALACE 앞,201808,386,112
강남구,2304,신영 ROYAL PALACE 앞,201809,419,117
강남구,2304,신영 ROYAL PALACE 앞,201810,439,129
강남구,2304,신영 ROYAL PALACE 앞,201811,331,104
강남구,2305,MCM 본사 직영점 앞,201806,341,320
강남구,2305,MCM 본사 직영점 앞,201807,285,280
강남구,2305,MCM 본사 직영점 앞,201808,272,335
강남구,2305,MCM 본사 직영점 앞,201809,321,384
강남구,2305,MCM 본사 직영점 앞,201810,360,387
강남구,2305,MCM 본사 직영점 앞,201811,306,371
강남구,2306,압구정역 2번 출구 옆,201806,948,896
강남구,2306,압구정역 2번 출구 옆,201807,834,822
강남구,2306,압구정역 2번 출구 옆,201808,1122,865
강남구,2306,압구정역 2번 출구 옆,201809,1513,1147
강남구,2306,압구정역 2번 출구 옆,201810,1388,1098
강남구,2306,압구정역 2번 출구 옆,201811,880,838
강남구,2307,압구정 한양 3차 아파트,201806,1230,1211
강남구,2307,압구정 한양 3차 아파트,201807,923,918
강남구,2307,압구정 한양 3차 아파트,201808,809,894
강남구,2307,압구정 한양 3차 아파트,201809,1705,1718
강남구,2307,압구정 한양 3차 아파트,201810,1394,1475
강남구,2307,압구정 한양 3차 아파트,201811,549,577
강남구,2308,압구정파출소 앞,201806,868,813
강남구,2308,압구정파출소 앞,201807,745,725
강남구,2308,압구정파출소 앞,201808,646,676
강남구,2308,압구정파출소 앞,201809,992,928
강남구,2308,압구정파출소 앞,201810,895,894
강남구,2308,압구정파출소 앞,201811,608,740
강남구,2309,청담역(우리들병원 앞),201806,594,354
강남구,2309,청담역(우리들병원 앞),201807,588,311
강남구,2309,청담역(우리들병원 앞),201808,578,321
강남구,2309,청담역(우리들병원 앞),201809,636,383
강남구,2309,청담역(우리들병원 앞),201810,499,282
강남구,2309,청담역(우리들병원 앞),201811,304,207
강남구,2310,청담동 맥도날드 옆(위치),201806,461,455
강남구,2310,청담동 맥도날드 옆(위치),201807,464,456
강남구,2310,청담동 맥도날드 옆(위치),201808,455,431
강남구,2310,청담동 맥도날드 옆(위치),201809,689,568
강남구,2310,청담동 맥도날드 옆(위치),201810,597,540
강남구,2310,청담동 맥도날드 옆(위치),201811,350,438
강남구,2311,학동로 래미안 아파트 앞,201806,434,152
강남구,2311,학동로 래미안 아파트 앞,201807,348,110
강남구,2311,학동로 래미안 아파트 앞,201808,322,99
강남구,2311,학동로 래미안 아파트 앞,201809,488,203
강남구,2311,학동로 래미안 아파트 앞,201810,485,172
강남구,2311,학동로 래미안 아파트 앞,201811,318,100
강남구,2312,청담역 13번 출구 앞,201806,401,372
강남구,2312,청담역 13번 출구 앞,201807,366,327
강남구,2312,청담역 13번 출구 앞,201808,393,336
강남구,2312,청담역 13번 출구 앞,201809,513,473
강남구,2312,청담역 13번 출구 앞,201810,472,392
